

-------THE SECURE LOOP FRAME OUTPUT-------

Requested Action	: Analyse Secure Loop Frames
Generated on	: Thu Apr 14 19:17:39 2011
Line Number	      : 1
Time Slot Number  : 31
Sub Channel Number: 0
Direction         : R1(Receieved)

-----------------------------------------------------------------------------------------------------------------------
Date Time		Line&TS	Message Name
-----------------------------------------------------------------------------------------------------------------------
16:14:10.55925200 L1R1TS31SC0 CAVA_REQ      MSG
16:14:10.73921700 L1R1TS31SC0 CAVA_REQ      MSG
16:14:10.91918200 L1R1TS31SC0 CAVA_REQ      MSG
16:14:11.09964800 L1R1TS31SC0 CAVA_REQ      MSG
16:14:11.27911400 L1R1TS31SC0 CAVA_REQ      MSG
16:14:11.45857900 L1R1TS31SC0 CAVA_REQ      MSG
16:14:11.63854400 L1R1TS31SC0 CAVA_REQ      MSG
16:14:11.81851100 L1R1TS31SC0 CAVA_REQ      MSG
16:14:11.99847600 L1R1TS31SC0 CAVA_REQ      MSG
16:14:12.18344100 L1R1TS31SC0 CAVA_REQ      MSG
16:14:12.37090500 L1R1TS31SC0 CAVA_REQ      MSG
16:14:12.55786900 L1R1TS31SC0 CAVA_REQ      MSG
16:14:12.73783400 L1R1TS31SC0 CAVA_REQ      MSG
16:14:12.91780100 L1R1TS31SC0 CAVA_REQ      MSG
16:14:13.09826600 L1R1TS31SC0 CAVA_REQ      MSG
16:14:13.27723100 L1R1TS31SC0 CAVA_REQ      MSG
16:14:13.45719800 L1R1TS31SC0 CAVA_REQ      MSG
16:14:13.63716300 L1R1TS31SC0 CAVA_REQ      MSG
16:14:13.81862800 L1R1TS31SC0 CAVA_REQ      MSG
16:14:13.99659400 L1R1TS31SC0 CAVA_REQ      MSG
16:14:14.18205800 L1R1TS31SC0 CAVA_REQ      MSG
16:14:14.36952200 L1R1TS31SC0 CAVA_REQ      MSG
16:14:14.55648700 L1R1TS31SC0 CAVA_REQ      MSG
16:14:14.73645300 L1R1TS31SC0 CAVA_REQ      MSG
16:14:14.91591800 L1R1TS31SC0 CAVA_REQ      MSG
16:14:15.09688300 L1R1TS31SC0 CAVA_REQ      MSG
16:14:15.27584900 L1R1TS31SC0 CAVA_REQ      MSG
16:14:15.45581500 L1R1TS31SC0 CAVA_REQ      MSG
16:14:15.63578000 L1R1TS31SC0 CAVA_REQ      MSG
16:14:15.81524600 L1R1TS31SC0 CAVA_REQ      MSG
16:14:15.99521100 L1R1TS31SC0 CAVA_REQ      MSG
16:14:16.18017700 L1R1TS31SC0 CAVA_REQ      MSG
16:14:16.36764000 L1R1TS31SC0 CAVA_REQ      MSG
16:14:16.54510700 L1R1TS31SC0 CAVA_REQ      MSG
16:14:16.72457200 L1R1TS31SC0 CAVA_REQ      MSG
16:14:16.90453700 L1R1TS31SC0 CAVA_REQ      MSG
16:14:17.08450200 L1R1TS31SC0 CAVA_REQ      MSG
16:14:17.26446900 L1R1TS31SC0 CAVA_REQ      MSG
16:14:17.44443400 L1R1TS31SC0 CAVA_REQ      MSG
16:14:17.62390000 L1R1TS31SC0 CAVA_REQ      MSG
16:14:17.80386500 L1R1TS31SC0 CAVA_REQ      MSG
16:14:17.98383000 L1R1TS31SC0 CAVA_REQ      MSG
16:14:18.16379600 L1R1TS31SC0 CAVA_REQ      MSG
16:14:18.34426200 L1R1TS31SC0 CAVA_REQ      MSG
16:14:18.52322700 L1R1TS31SC0 CAVA_REQ      MSG
16:14:18.70319200 L1R1TS31SC0 CAVA_REQ      MSG
16:14:18.88315800 L1R1TS31SC0 CAVA_REQ      MSG
16:14:19.06312400 L1R1TS31SC0 CAVA_REQ      MSG
16:14:19.24258900 L1R1TS31SC0 CAVA_REQ      MSG
16:14:19.42255500 L1R1TS31SC0 CAVA_REQ      MSG
16:14:19.60352000 L1R1TS31SC0 CAVA_REQ      MSG
16:14:19.78248500 L1R1TS31SC0 CAVA_REQ      MSG
16:14:19.96245100 L1R1TS31SC0 CAVA_REQ      MSG
16:14:20.14191700 L1R1TS31SC0 CAVA_REQ      MSG
16:14:20.32188200 L1R1TS31SC0 CAVA_REQ      MSG
16:14:20.50184800 L1R1TS31SC0 CAVA_REQ      MSG
16:14:20.68181300 L1R1TS31SC0 CAVA_REQ      MSG
16:14:20.86177800 L1R1TS31SC0 CAVA_REQ      MSG
16:14:21.04124400 L1R1TS31SC0 CAVA_REQ      MSG
16:14:21.22121000 L1R1TS31SC0 CAVA_REQ      MSG
16:14:21.40117500 L1R1TS31SC0 CAVA_REQ      MSG
16:14:21.58114000 L1R1TS31SC0 CAVA_REQ      MSG
16:14:21.76110500 L1R1TS31SC0 CAVA_REQ      MSG
16:14:21.94107200 L1R1TS31SC0 CAVA_REQ      MSG
16:14:22.12053700 L1R1TS31SC0 CAVA_REQ      MSG
16:14:22.30050300 L1R1TS31SC0 CAVA_REQ      MSG
